Longitude (deg),Latitude (deg),Eastward wind (m/s)
107,274,33.369
107,275,31.033
107,276,29.681
107,277,30.087
107,278,31.384
107,279,32.439
107,280,32.494
107,281,32.9
108,231,-4.7758
108,232,-1.311
108,233,1.9351
108,234,3.9683
108,235,5.2925
108,236,6.6763
108,237,8.337
108,238,10.643
108,239,13.728
108,240,16.947
108,241,19.685
108,242,21.916
108,243,23.99
108,244,26.002
108,245,27.666
108,246,29.119
108,247,30.986
108,248,33.595
108,249,36.369
108,250,39.095
108,251,41.361
108,252,43.158
108,253,44.627
108,254,46.236
108,255,48.377
108,256,50.298
108,257,51.423
108,258,52.314
108,259,53.517
108,260,54.908
108,261,56.517
108,262,57.798
108,263,58.361
108,264,58.08
108,265,57.267
108,266,56.97
108,267,57.392
108,268,56.314
108,269,53.611
108,270,49.689
108,271,45.611
108,272,41.908
108,273,38.541
108,274,35.955
108,275,34.181
108,276,33.002
108,277,33.002
108,278,34.439
108,279,34.853
108,280,34.533
108,281,34.681
109,231,-5.6899
109,232,-2.8188
109,233,0.52104
109,234,3.0152
109,235,4.5445
109,236,5.979
109,237,7.7481
109,238,10.067
109,239,12.939
109,240,16.191
109,241,19.435
109,242,22.119
109,243,24.181
109,244,26.095
109,245,27.892
109,246,29.369
109,247,30.806
109,248,32.783
109,249,35.47
109,250,38.127
109,251,40.392
109,252,42.298
109,253,44.064
109,254,45.845
109,255,47.798
109,256,49.783
109,257,51.642
109,258,53.017
109,259,54.314
109,260,55.908
109,261,57.408
109,262,58.361
109,263,58.986
109,264,59.08
109,265,58.548
109,266,57.955
109,267,57.814
109,268,56.97
109,269,54.861
109,270,51.658
109,271,48.127
109,272,44.033
109,273,40.752
109,274,38.548
109,275,36.9
109,276,35.767
109,277,35.681
109,278,36.767
109,279,37.158
109,280,36.502
109,281,36.205
110,231,-6.2641
110,232,-3.9672
110,233,-1.0063
110,234,1.73
110,235,3.5914
110,236,5.2095
110,237,7.1236
110,238,9.4212
110,239,12.262
110,240,15.539
110,241,18.966
110,242,22.107
110,243,24.58
110,244,26.447
110,245,28.048
110,246,29.439
110,247,30.689
110,248,32.283
110,249,34.564
110,250,37.189
110,251,39.658
110,252,41.767
110,253,43.58
110,254,45.361
110,255,47.377
110,256,49.502
