Longitude (deg),Latitude (deg),Eastward wind (m/s)
117,267,57.642
117,268,57.861
117,269,57.486
117,270,55.423
117,271,55.033
117,272,54.423
117,273,53.205
117,274,52.127
117,275,51.923
117,276,52.923
117,277,53.861
117,278,53.97
117,279,50.017
117,280,44.986
117,281,43.33
118,231,-4.2836
118,232,-2.4633
118,233,-0.44381
118,234,1.5132
118,235,3.1929
118,236,4.564
118,237,5.982
118,238,7.8526
118,239,10.415
118,240,13.351
118,241,16.058
118,242,18.365
118,243,20.408
118,244,22.412
118,245,24.287
118,246,25.931
118,247,27.666
118,248,29.853
118,249,32.252
118,250,34.423
118,251,36.595
118,252,38.806
118,253,40.908
118,254,42.986
118,255,44.47
118,256,45.22
118,257,46.861
118,258,49.517
118,259,51.392
118,260,52.267
118,261,52.736
118,262,53.252
118,263,53.658
118,264,54.205
118,265,54.986
118,266,55.845
118,267,56.486
118,268,56.908
118,269,56.861
118,270,57.002
118,271,56.955
118,272,55.627
118,273,54.705
118,274,53.83
118,275,53.392
118,276,54.127
118,277,55.345
118,278,55.064
118,279,50.142
118,280,45.236
118,281,43.705
119,231,-3.686
119,232,-1.5766
119,233,0.57963
119,234,2.605
119,235,4.1675
119,236,5.272
119,237,6.3384
119,238,7.9173
119,239,10.265
119,240,13.072
119,241,15.873
119,242,18.369
119,243,20.404
119,244,22.099
119,245,23.666
119,246,25.197
119,247,27.087
119,248,29.65
119,249,32.166
119,250,34.486
119,251,36.697
119,252,38.712
119,253,40.861
119,254,42.97
119,255,44.439
119,256,44.955
119,257,45.877
119,258,47.705
119,259,49.595
119,260,50.923
119,261,51.314
119,262,51.345
119,263,51.72
119,264,52.502
119,265,53.517
119,266,54.455
119,267,55.064
119,268,55.439
119,269,56.267
119,270,56.752
119,271,56.908
119,272,56.408
119,273,55.955
119,274,55.408
119,275,55.033
119,276,55.611
119,277,57.033
119,278,55.658
119,279,49.658
119,280,45.236
119,281,43.845
121,231,-2.2876
121,232,0.29057
121,233,2.4585
121,234,4.1695
121,235,5.3941
121,236,6.1177
121,237,6.8809
121,238,8.1963
121,239,10.11
121,240,12.425
121,241,15.062
121,242,17.877
121,243,20.447
121,244,22.392
121,245,23.877
121,246,25.439
121,247,27.502
121,248,29.853
121,249,32.252
121,250,34.658
121,251,36.986
121,252,39.033
121,253,40.814
121,254,42.689
121,255,44.033
121,256,45.002
121,257,46.158
121,258,47.517
121,259,48.814
